section,method,url,doc,doc_url
Admin Audit Events,GET,https://webexapis.com/v1/adminAudit/events,List Admin Audit Events,https://developer.webex.com/docs/api/v1/admin-audit-events/list-admin-audit-events
Admin Audit Events,GET,https://webexapis.com/v1/adminAudit/eventCategories,List Admin Audit Event Categories,https://developer.webex.com/docs/api/v1/admin-audit-events/list-admin-audit-event-categories
Attachment Actions,POST,https://webexapis.com/v1/attachment/actions,Create an Attachment Action,https://developer.webex.com/docs/api/v1/attachment-actions/create-an-attachment-action
Attachment Actions,GET,https://webexapis.com/v1/attachment/actions/{id},Get Attachment Action Details,https://developer.webex.com/docs/api/v1/attachment-actions/get-attachment-action-details
Authorizations,GET,https://webexapis.com/v1/authorizations,List authorizations for a user,https://developer.webex.com/docs/api/v1/authorizations/list-authorizations-for-a-user
Authorizations,DELETE,https://webexapis.com/v1/authorizations/{authorizationId},Delete authorization,https://developer.webex.com/docs/api/v1/authorizations/delete-authorization
Authorizations,DELETE,https://webexapis.com/v1/authorizations,Delete authorization of org and client ID,https://developer.webex.com/docs/api/v1/authorizations/delete-authorization-of-org-and-client-id
BroadWorks Billing Reports,GET,https://webexapis.com/v1/broadworks/billing/reports,List BroadWorks Billing Reports,https://developer.webex.com/docs/api/v1/broadworks-billing-reports/list-broadworks-billing-reports
BroadWorks Billing Reports,GET,https://webexapis.com/v1/broadworks/billing/reports/{id},Get a BroadWorks Billing Report,https://developer.webex.com/docs/api/v1/broadworks-billing-reports/get-a-broadworks-billing-report
BroadWorks Billing Reports,POST,https://webexapis.com/v1/broadworks/billing/reports,Create a BroadWorks Billing Report,https://developer.webex.com/docs/api/v1/broadworks-billing-reports/create-a-broadworks-billing-report
BroadWorks Billing Reports,DELETE,https://webexapis.com/v1/broadworks/billing/reports/{id},Delete a BroadWorks Billing Report,https://developer.webex.com/docs/api/v1/broadworks-billing-reports/delete-a-broadworks-billing-report
BroadWorks Device Provisioning,POST,https://webexapis.com/v1/broadworks/workspaces,Provision a BroadWorks Workspace,https://developer.webex.com/docs/api/v1/broadworks-device-provisioning/provision-a-broadworks-workspace
BroadWorks Device Provisioning,PUT,https://webexapis.com/v1/broadworks/workspaces/{workspaceId},Update a Broadworks Workspace,https://developer.webex.com/docs/api/v1/broadworks-device-provisioning/update-a-broadworks-workspace
BroadWorks Device Provisioning,DELETE,https://webexapis.com/v1/broadworks/workspaces/{workspaceId},Remove a BroadWorks Workspace,https://developer.webex.com/docs/api/v1/broadworks-device-provisioning/remove-a-broadworks-workspace
BroadWorks Enterprises,GET,https://webexapis.com/v1/broadworks/enterprises,List BroadWorks Enterprises,https://developer.webex.com/docs/api/v1/broadworks-enterprises/list-broadworks-enterprises
BroadWorks Enterprises,PUT,https://webexapis.com/v1/broadworks/enterprises/{id}/broadworksDirectorySync,Update Directory Sync for a BroadWorks Enterprise,https://developer.webex.com/docs/api/v1/broadworks-enterprises/update-directory-sync-for-a-broadworks-enterprise
BroadWorks Enterprises,POST,https://webexapis.com/v1/broadworks/enterprises/{id}/broadworksDirectorySync,Trigger Directory Sync for an Enterprise,https://developer.webex.com/docs/api/v1/broadworks-enterprises/trigger-directory-sync-for-an-enterprise
BroadWorks Enterprises,GET,https://webexapis.com/v1/broadworks/enterprises/{id}/broadworksDirectorySync,Get Directory Sync Status for an Enterprise,https://developer.webex.com/docs/api/v1/broadworks-enterprises/get-directory-sync-status-for-an-enterprise
BroadWorks Enterprises,POST,https://webexapis.com/v1/broadworks/enterprises/{id}/broadworksDirectorySync/externalUser,Trigger Directory Sync for a User,https://developer.webex.com/docs/api/v1/broadworks-enterprises/trigger-directory-sync-for-a-user
BroadWorks Subscribers,GET,https://webexapis.com/v1/broadworks/subscribers,List BroadWorks Subscribers,https://developer.webex.com/docs/api/v1/broadworks-subscribers/list-broadworks-subscribers
BroadWorks Subscribers,POST,https://webexapis.com/v1/broadworks/subscribers,Provision a BroadWorks Subscriber,https://developer.webex.com/docs/api/v1/broadworks-subscribers/provision-a-broadworks-subscriber
BroadWorks Subscribers,GET,https://webexapis.com/v1/broadworks/subscribers/{subscriberId},Get a BroadWorks Subscriber,https://developer.webex.com/docs/api/v1/broadworks-subscribers/get-a-broadworks-subscriber
BroadWorks Subscribers,PUT,https://webexapis.com/v1/broadworks/subscribers/{subscriberId},Update a BroadWorks Subscriber,https://developer.webex.com/docs/api/v1/broadworks-subscribers/update-a-broadworks-subscriber
BroadWorks Subscribers,DELETE,https://webexapis.com/v1/broadworks/subscribers/{subscriberId},Remove a BroadWorks Subscriber,https://developer.webex.com/docs/api/v1/broadworks-subscribers/remove-a-broadworks-subscriber
BroadWorks Subscribers,POST,https://webexapis.com/v1/broadworks/subscribers/validate,Precheck a Broadworks Subscriber Provisioning,https://developer.webex.com/docs/api/v1/broadworks-subscribers/precheck-a-broadworks-subscriber-provisioning
Call Controls,POST,https://webexapis.com/v1/telephony/calls/dial,Dial,https://developer.webex.com/docs/api/v1/call-controls/dial
Call Controls,POST,https://webexapis.com/v1/telephony/calls/answer,Answer,https://developer.webex.com/docs/api/v1/call-controls/answer
Call Controls,POST,https://webexapis.com/v1/telephony/calls/reject,Reject,https://developer.webex.com/docs/api/v1/call-controls/reject
Call Controls,POST,https://webexapis.com/v1/telephony/calls/hangup,Hangup,https://developer.webex.com/docs/api/v1/call-controls/hangup
Call Controls,POST,https://webexapis.com/v1/telephony/calls/hold,Hold,https://developer.webex.com/docs/api/v1/call-controls/hold
Call Controls,POST,https://webexapis.com/v1/telephony/calls/resume,Resume,https://developer.webex.com/docs/api/v1/call-controls/resume
Call Controls,POST,https://webexapis.com/v1/telephony/calls/divert,Divert,https://developer.webex.com/docs/api/v1/call-controls/divert
Call Controls,POST,https://webexapis.com/v1/telephony/calls/transfer,Transfer,https://developer.webex.com/docs/api/v1/call-controls/transfer
Call Controls,POST,https://webexapis.com/v1/telephony/calls/park,Park,https://developer.webex.com/docs/api/v1/call-controls/park
Call Controls,POST,https://webexapis.com/v1/telephony/calls/retrieve,Retrieve,https://developer.webex.com/docs/api/v1/call-controls/retrieve
Call Controls,POST,https://webexapis.com/v1/telephony/calls/startRecording,Start Recording,https://developer.webex.com/docs/api/v1/call-controls/start-recording
Call Controls,POST,https://webexapis.com/v1/telephony/calls/stopRecording,Stop Recording,https://developer.webex.com/docs/api/v1/call-controls/stop-recording
Call Controls,POST,https://webexapis.com/v1/telephony/calls/pauseRecording,Pause Recording,https://developer.webex.com/docs/api/v1/call-controls/pause-recording
